brand, produce_name, shippingASUS,ASUS GeForce RTX 2080 O8G Dual-fan OC Edition GDDR6 HDMI DP 1.4 USB Type-C Graphics Card,Free Shipping
ZOTAC,ZOTAC GAMING GeForce RTX 2080 AMP 8GB GDDR6 256-bit Gaming Graphics Card  Active Fan Control  Metal Backplate  Spectra Lighting (ZT-T20800D-10P),Free Shipping
EVGA,EVGA GeForce RTX 2080 XC GAMING  08G-P4-2182-KR  8GB GDDR6  Dual HDB Fans & RGB LED,Free Shipping
PNY Technologies  Inc.,PNY GeForce RTX 2080 XLR8 Gaming Overclocked Edition Graphics Card,Free Shipping
EVGA,EVGA GeForce GTX 1070 FTW GAMING ACX 3.0  08G-P4-6276-KR  8GB GDDR5  RGB LED  10CM FAN  10 Power Phases  Double BIOS  DX12 OSD Support (PXOC),$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080D5X-8GD 8GB 256-Bit GDDR5X PCI Express 3.0 x16 SLI Support ATX Video Cards,Free Shipping
GIGABYTE,GIGABYTE AORUS GeForce GTX 1080 Ti DirectX 12 GV-N108TAORUS-11GD 11GB 352-Bit GDDR5X PCI Express 3.0 x16 SLI Support ATX Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1070 Ti DirectX 12 ZT-P10710G-10P 8GB 256-Bit GDDR5 PCI Express 3.0 Video Card - Mini,$5.99 Shipping
MSI,MSI GeForce GTX 1070 DirectX 12 GTX 1070 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support ATX Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1070 SC GAMING ACX 3.0 Black Edition  08G-P4-5173-KR  8GB GDDR5  LED  DX12 OSD Support (PXOC),$4.99 Shipping
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 580 DirectX 12 100411NT+4G-2L 4GB 256-Bit GDDR5 CrossFireX Support ATX Video Card w/ Backplate (UEFI)  SAMSUNG MEMORY,$4.99 Shipping
MSI,MSI GeForce GTX 1080 Ti DirectX 12 GeForce GTX 1080 TI ARMOR 11G OC 11GB 352-Bit GDDR5X PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,$4.99 Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI)  100411NT+8GSEL,$4.99 Shipping
